0:0:0:0:0:0:0:1 - - [22/Aug/2017:09:13:51 -0400] "GET / HTTP/1.1" 200 11452
127.0.0.1 - - [22/Aug/2017:09:16:31 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [22/Aug/2017:09:16:31 -0400] "GET /manager/text/ HTTP/1.1" 401 2536
127.0.0.1 - netbeans [22/Aug/2017:09:16:33 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:09:16:33 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:09:16:33 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:09:16:33 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:09:16:33 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:09:16:33 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:09:16:33 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - netbeans [22/Aug/2017:09:16:33 -0400] "GET /manager/text/list HTTP/1.1" 200 421
127.0.0.1 - netbeans [22/Aug/2017:09:16:33 -0400] "GET /manager/text/list HTTP/1.1" 200 421
127.0.0.1 - netbeans [22/Aug/2017:09:16:34 -0400] "GET /manager/text/undeploy?path=/FlooringCalculatorJSPServlet HTTP/1.1" 200 86
127.0.0.1 - netbeans [22/Aug/2017:09:16:34 -0400] "GET /manager/text/deploy?config=file%3A%2FC%3A%2FUsers%2FN0200797%2FAppData%2FLocal%2FTemp%2Fcontext8155671262697248691.xml&path=/FlooringCalculatorJSPServlet HTTP/1.1" 200 84
127.0.0.1 - netbeans [22/Aug/2017:09:16:34 -0400] "GET /manager/text/start?path=/FlooringCalculatorJSPServlet HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [22/Aug/2017:09:16:34 -0400] "GET /FlooringCalculatorJSPServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Aug/2017:09:16:35 -0400] "GET /FlooringCalculatorJSPServlet/ HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [22/Aug/2017:09:17:09 -0400] "POST /FlooringCalculatorJSPServlet/FlooringCalculatorServlet HTTP/1.1" 500 1851
0:0:0:0:0:0:0:1 - - [22/Aug/2017:09:19:01 -0400] "POST /FlooringCalculatorJSPServlet/FlooringCalculatorServlet HTTP/1.1" 500 1851
127.0.0.1 - - [22/Aug/2017:09:21:05 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:09:21:05 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:09:21:05 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:09:21:05 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:09:21:05 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:09:21:05 -0400] "GET /manager/text/ HTTP/1.1" 200 37
